poem_id,subject,with_brown_rules,prompt_type,n_lines,num_pairs_passing_echo,first_last_passes_echo
0,abuse,True,general,14,6,True
1,abuse,True,figurative,14,7,True
2,abuse,True,specific,14,9,True
3,activities,True,general,14,6,True
4,activities,True,figurative,14,9,True
5,activities,True,specific,15,7,True
6,arts & sciences,True,general,14,6,True
7,arts & sciences,True,figurative,14,6,True
8,arts & sciences,True,specific,14,6,True
9,christianity,True,general,14,7,True
10,christianity,True,figurative,14,6,True
11,christianity,True,specific,14,6,True
12,chronic illness,True,general,14,7,True
13,chronic illness,True,figurative,14,7,True
14,chronic illness,True,specific,14,9,True
15,crime & punishment,True,general,15,6,True
16,crime & punishment,True,figurative,15,7,True
17,crime & punishment,True,specific,14,6,True
18,cycles,True,general,14,7,True
19,cycles,True,figurative,14,7,True
20,cycles,True,specific,15,6,True
21,desire & passion,True,general,14,6,True
22,desire & passion,True,figurative,14,8,True
23,desire & passion,True,specific,14,6,True
24,doubt & contemplation,True,general,14,8,True
25,doubt & contemplation,True,figurative,14,7,True
26,doubt & contemplation,True,specific,14,6,True
27,family & ancestors,True,general,15,6,True
28,family & ancestors,True,figurative,14,8,True
29,family & ancestors,True,specific,14,9,True
30,gender & sexuality,True,general,14,8,True
31,gender & sexuality,True,figurative,14,13,True
32,gender & sexuality,True,specific,14,12,True
33,greek & roman mythology,True,general,15,6,True
34,greek & roman mythology,True,figurative,14,6,True
35,greek & roman mythology,True,specific,14,8,True
36,history & politics,True,general,14,7,True
37,history & politics,True,figurative,14,8,True
38,history & politics,True,specific,15,6,True
39,home life,True,general,14,7,True
40,home life,True,figurative,14,6,True
41,home life,True,specific,14,6,True
42,hope,True,general,14,6,True
43,hope,True,figurative,14,6,True
44,hope,True,specific,14,6,True
45,humor & satire,True,general,14,7,True
46,humor & satire,True,figurative,14,8,True
47,humor & satire,True,specific,14,6,True
48,indoor activities,True,general,14,6,True
49,indoor activities,True,figurative,14,7,True
50,indoor activities,True,specific,14,6,True
51,life choices,True,general,14,10,True
52,life choices,True,figurative,14,7,True
53,life choices,True,specific,15,6,True
54,lgbtq+,True,general,14,9,True
55,lgbtq+,True,figurative,14,6,True
56,lgbtq+,True,specific,15,7,True
57,living,True,general,15,8,True
58,living,True,figurative,14,6,True
59,living,True,specific,16,7,True
60,love,True,general,13,6,True
61,love,True,figurative,14,7,True
62,love,True,specific,14,6,True
63,love death avoidance,True,general,14,7,True
64,love death avoidance,True,figurative,14,6,True
65,love death avoidance,True,specific,15,7,True
66,memory & nostalgia,True,general,14,6,True
67,memory & nostalgia,True,figurative,14,7,True
68,memory & nostalgia,True,specific,14,6,True
69,men & women,True,general,14,6,True
70,men & women,True,figurative,14,7,True
71,men & women,True,specific,14,8,True
72,mythology & folklore,True,general,14,6,True
73,mythology & folklore,True,figurative,14,6,True
74,mythology & folklore,True,specific,14,7,True
75,nature,True,general,14,7,True
76,nature,True,figurative,14,8,True
77,nature,True,specific,14,7,True
78,power,True,general,14,7,True
79,power,True,figurative,15,10,True
80,power,True,specific,14,7,True
81,poetry & poets,True,general,14,8,True
82,poetry & poets,True,figurative,14,6,True
83,poetry & poets,True,specific,14,7,True
84,race & ethnicity,True,general,14,6,True
85,race & ethnicity,True,figurative,14,9,True
86,race & ethnicity,True,specific,14,7,True
87,relationships,True,general,14,8,True
88,relationships,True,figurative,14,9,True
89,relationships,True,specific,14,7,True
90,romantic love,True,general,14,7,True
91,romantic love,True,figurative,14,8,True
92,romantic love,True,specific,14,6,True
93,violence,True,general,15,10,True
94,violence,True,figurative,14,6,True
95,violence,True,specific,14,7,True
96,sorrow & grieving,True,general,14,6,True
97,sorrow & grieving,True,figurative,14,7,True
98,sorrow & grieving,True,specific,14,6,True
99,social commentaries,True,general,14,6,True
100,social commentaries,True,figurative,14,8,True
101,social commentaries,True,specific,14,6,True
102,subjugation,True,general,14,7,True
103,subjugation,True,figurative,14,6,True
104,subjugation,True,specific,14,6,True
105,the mind,True,general,14,7,True
106,the mind,True,figurative,14,8,True
107,the mind,True,specific,14,9,True
108,trees and flowers,True,general,14,7,True
109,trees and flowers,True,figurative,14,6,True
110,trees and flowers,True,specific,15,7,True
111,truth,True,general,14,8,True
112,truth,True,figurative,14,7,True
113,truth,True,specific,14,7,True
114,twilight,True,general,14,6,True
115,twilight,True,figurative,14,7,True
116,twilight,True,specific,14,7,True
117,urban environment,True,general,14,6,True
118,urban environment,True,figurative,14,7,True
119,urban environment,True,specific,16,7,True
120,war & conflict,True,general,14,7,True
121,war & conflict,True,figurative,14,7,True
122,war & conflict,True,specific,14,6,True
123,weather,True,general,15,8,True
124,weather,True,figurative,14,6,True
125,weather,True,specific,14,8,True
126,youth,True,general,14,6,True
127,youth,True,figurative,14,7,True
128,youth,True,specific,14,6,True
129,abuse,False,general,14,6,True
130,abuse,False,figurative,14,6,False
131,abuse,False,specific,16,11,True
132,activities,False,general,12,5,True
133,activities,False,figurative,12,5,False
134,activities,False,specific,12,5,True
135,arts & sciences,False,general,8,0,False
136,arts & sciences,False,figurative,12,5,False
137,arts & sciences,False,specific,12,4,False
138,christianity,False,general,14,6,True
139,christianity,False,figurative,14,7,True
140,christianity,False,specific,14,7,True
141,chronic illness,False,general,14,6,True
142,chronic illness,False,figurative,14,6,True
143,chronic illness,False,specific,12,5,True
144,crime & punishment,False,general,14,6,True
145,crime & punishment,False,figurative,12,5,False
146,crime & punishment,False,specific,14,6,True
147,cycles,False,general,12,5,True
148,cycles,False,figurative,10,7,True
149,cycles,False,specific,12,5,True
150,desire & passion,False,general,1,0,False
151,desire & passion,False,figurative,12,5,False
152,desire & passion,False,specific,14,8,True
153,doubt & contemplation,False,general,14,6,True
154,doubt & contemplation,False,figurative,14,7,True
155,doubt & contemplation,False,specific,14,6,True
156,family & ancestors,False,general,12,7,True
157,family & ancestors,False,figurative,10,6,False
158,family & ancestors,False,specific,14,7,True
159,gender & sexuality,False,general,14,5,False
160,gender & sexuality,False,figurative,12,5,True
161,gender & sexuality,False,specific,14,8,True
162,greek & roman mythology,False,general,14,7,True
163,greek & roman mythology,False,figurative,12,6,False
164,greek & roman mythology,False,specific,10,8,True
165,history & politics,False,general,14,6,True
