pair_index,pair_type,matches,num_matches,max_phrase_len,max_phrase_example,passes_echo,poem_id,subject,with_brown_rules,prompt_type
0,adjacent,,0,1,the,False,0,abuse,True,general
1,adjacent,"linger, mute, shadow, skin",4,7,a shadow lingers mute against the skin,True,0,abuse,True,general
2,adjacent,,0,1,the,False,0,abuse,True,general
3,adjacent,"beneath, bone, bury, deep, its, whisper",6,7,its whispers buried deep beneath the bone,True,0,abuse,True,general
4,adjacent,,0,1,the,False,0,abuse,True,general
5,adjacent,"body, know, mind, speak, what, will",6,10,the body knows what the mind wo n’t speak of,True,0,abuse,True,general
6,adjacent,,0,0,,False,0,abuse,True,general
7,adjacent,"ash, prayer, startling, touch, turn",5,8,each startling touch a prayer turned to ash,True,0,abuse,True,general
8,adjacent,,0,0,,False,0,abuse,True,general
9,adjacent,"ache, back, carry, carve, our, we",6,8,the ache we carry carved along our backs,True,0,abuse,True,general
10,adjacent,,0,0,,False,0,abuse,True,general
11,adjacent,"etch, fear, forgiveness, hymn, tread",5,8,a hymn etched where forgiveness fears to tread,True,0,abuse,True,general
12,adjacent,,0,1,where,False,0,abuse,True,general
13,first_last,"bloom, bruise, dare, dark, eye, wander",6,10,the bruise blooms dark where no eye dares to wander,True,0,abuse,True,general
0,adjacent,,0,0,,False,1,abuse,True,figurative
1,adjacent,"it, its, keep, nothing, remain, weight",6,8,it keeps its weight though nothing else remains,True,1,abuse,True,figurative
2,adjacent,,0,0,,False,1,abuse,True,figurative
3,adjacent,"hold, my, press, that, wall",5,9,pressed into walls that once could hold my name,True,1,abuse,True,figurative
4,adjacent,,0,0,,False,1,abuse,True,figurative
5,adjacent,"claim, live, unthreade, voice",4,7,a voice lives there unthreading every claim,True,1,abuse,True,figurative
6,adjacent,,0,1,a,False,1,abuse,True,figurative
7,adjacent,"blame, ghost, its, that, tone, whisper",6,8,its tone a ghost that whispers only blame,True,1,abuse,True,figurative
8,adjacent,,0,0,,False,1,abuse,True,figurative
9,adjacent,"echo, i, maim, proof",4,9,each echo proof i was the one to maim,True,1,abuse,True,figurative
10,adjacent,i,1,1,i,True,1,abuse,True,figurative
11,adjacent,"i, long, vanish",3,8,how long before i vanish just the same,True,1,abuse,True,figurative
12,adjacent,,0,1,the,False,1,abuse,True,figurative
13,first_last,"fade, shouting, silence, thickens",4,7,the silence thickens where the shouting fades,True,1,abuse,True,figurative
0,adjacent,,0,1,the,False,2,abuse,True,specific
1,adjacent,"glass, i, show, who",4,9,the glass still shows me who i was before,True,2,abuse,True,specific
2,adjacent,i,1,1,i,True,2,abuse,True,specific
3,adjacent,"adore, face, flinch, i, learn",5,10,a face i ’d learned to flinch from not adore,True,2,abuse,True,specific
4,adjacent,,0,0,,False,2,abuse,True,specific
5,adjacent,"door, freeze, he, sound",4,8,frozen by sounds of him behind the door,True,2,abuse,True,specific
6,adjacent,,0,1,the,False,2,abuse,True,specific
7,adjacent,"click, core, lock, my, sink, terror",6,8,the lock clicks terror sinks into my core,True,2,abuse,True,specific
8,adjacent,my,1,1,the,True,2,abuse,True,specific
9,adjacent,"crack, finger, i, ignore, my, trace",6,9,my fingers trace the cracks i ca n’t ignore,True,2,abuse,True,specific
10,adjacent,i,1,1,the,True,2,abuse,True,specific
11,adjacent,"his, i, reach, voice, wreckage",5,8,his voice the wreckage i keep reaching for,True,2,abuse,True,specific
12,adjacent,,0,1,the,False,2,abuse,True,specific
13,first_last,"floor, mirror, shard, shatter",4,7,the mirror shattered shards across the floor,True,2,abuse,True,specific
0,adjacent,,0,1,the,False,3,activities,True,general
1,adjacent,"day, murmur, slow, soft, unfold",5,8,the day unfolds in murmurs soft and slow,True,3,activities,True,general
2,adjacent,,0,1,the,False,3,activities,True,general
3,adjacent,"floor, like, moment, shadow, sway",5,8,each moment sways like shadows on the floor,True,3,activities,True,general
4,adjacent,,0,0,,False,3,activities,True,general
5,adjacent,"dance, pull, task, that, their, weight",6,9,a dance of tasks that pull against their weight,True,3,activities,True,general
6,adjacent,,0,0,,False,3,activities,True,general
7,adjacent,"find, i, joy",3,10,yet still i move as if to find some joy,True,3,activities,True,general
8,adjacent,,0,0,,False,3,activities,True,general
9,adjacent,"beat, fill, fleeting, rhythm",4,7,the rhythm fills each empty fleeting beat,True,3,activities,True,general
10,adjacent,,0,1,the,False,3,activities,True,general
11,adjacent,"bind, hour, loop, sound, sweat",5,10,and binds the hours in loops of sound and sweat,True,3,activities,True,general
12,adjacent,,0,1,the,False,3,activities,True,general
13,first_last,"dawn, greet, i, limb, my, quiet, stretch",7,9,i stretch my limbs to greet the quiet dawn,True,3,activities,True,general
0,adjacent,,0,1,the,False,4,activities,True,figurative
1,adjacent,"dark, thread, time, unravel",4,8,time was a thread unraveling in the dark,True,4,activities,True,figurative
2,adjacent,,0,1,the,False,4,activities,True,figurative
3,adjacent,"i, seam, stitch, task, unspoole",5,9,i stitched with tasks and still unspooled the seams,True,4,activities,True,figurative
4,adjacent,i,1,1,i,True,4,activities,True,figurative
5,adjacent,"build, climb, i, sink, that, tower",6,8,building a tower that sank as i climbed,True,4,activities,True,figurative
6,adjacent,i,1,1,i,True,4,activities,True,figurative
7,adjacent,"chase, ghost, i, mirror, my, warp",6,9,i chased my name through mirrors warped with ghosts,True,4,activities,True,figurative
8,adjacent,i,1,1,i,True,4,activities,True,figurative
9,adjacent,"i, lose, shadow, shape, task, what",6,8,each task a shadow shaping what i lost,True,4,activities,True,figurative
10,adjacent,,0,0,,False,4,activities,True,figurative
11,adjacent,"brass, feel, hollow, hour, loud, sing",6,9,the hours sang loud but felt of hollow brass,True,4,activities,True,figurative
12,adjacent,,0,1,the,False,4,activities,True,figurative
13,first_last,"careless, day, hand, hear, i, my, slip",7,9,i heard the days slip through my careless hands,True,4,activities,True,figurative
0,adjacent,,0,0,,False,5,activities,True,specific
1,adjacent,"hand, my, nail, promise, tremble",5,8,each nail a promise trembling in my hand,True,5,activities,True,specific
2,adjacent,,0,1,a,False,5,activities,True,specific
3,adjacent,"hour, map, roughen, scrawl, wood",5,8,a map of hours scrawled on roughened wood,True,5,activities,True,specific
4,adjacent,,0,0,,False,5,activities,True,specific
5,adjacent,"my, palm, rise, slowly, splinter, wall",6,8,the walls rose slowly splinters in my palms,True,5,activities,True,specific
6,adjacent,,0,1,the,False,5,activities,True,specific
7,adjacent,"build, hold, house, past, we, whisper",6,9,the house we built held whispers from the past,True,5,activities,True,specific
8,adjacent,,0,1,the,False,5,activities,True,specific
9,adjacent,"i, linger, shadow, swing, tool, your",6,8,your shadow lingered as i swung the tool,True,5,activities,True,specific
