pair_index,pair_type,matches,num_matches,max_phrase_len,max_phrase_example,passes_echo,poem_id,subject,with_brown_rules,prompt_type
0,adjacent,,0,0,,False,0,abuse,False,general
1,adjacent,,0,1,with,False,0,abuse,False,general
2,adjacent,,0,0,,False,0,abuse,False,general
3,adjacent,,0,0,,False,0,abuse,False,general
4,adjacent,,0,1,the,False,0,abuse,False,general
5,adjacent,,0,1,in,False,0,abuse,False,general
6,adjacent,,0,0,,False,0,abuse,False,general
7,adjacent,,0,1,of,False,0,abuse,False,general
8,adjacent,,0,1,a,False,0,abuse,False,general
9,adjacent,,0,1,the,False,0,abuse,False,general
10,adjacent,,0,1,to,False,0,abuse,False,general
11,adjacent,,0,1,the,False,0,abuse,False,general
12,adjacent,,0,0,,False,0,abuse,False,general
13,adjacent,,0,0,,False,0,abuse,False,general
14,adjacent,,0,1,is,False,0,abuse,False,general
15,adjacent,,0,0,,False,0,abuse,False,general
16,adjacent,,0,0,,False,0,abuse,False,general
17,first_last,,0,0,,False,0,abuse,False,general
0,adjacent,,0,1,in,False,1,abuse,False,figurative
1,adjacent,,0,0,,False,1,abuse,False,figurative
2,adjacent,,0,0,,False,1,abuse,False,figurative
3,adjacent,,0,0,,False,1,abuse,False,figurative
4,adjacent,,0,0,,False,1,abuse,False,figurative
5,adjacent,,0,0,,False,1,abuse,False,figurative
6,adjacent,,0,0,,False,1,abuse,False,figurative
7,adjacent,,0,0,,False,1,abuse,False,figurative
8,adjacent,,0,1,a,False,1,abuse,False,figurative
9,adjacent,,0,1,the,False,1,abuse,False,figurative
10,adjacent,,0,0,,False,1,abuse,False,figurative
11,adjacent,,0,0,,False,1,abuse,False,figurative
12,adjacent,,0,0,,False,1,abuse,False,figurative
13,adjacent,,0,0,,False,1,abuse,False,figurative
14,adjacent,,0,0,,False,1,abuse,False,figurative
15,first_last,,0,0,,False,1,abuse,False,figurative
0,adjacent,,0,1,the,False,2,abuse,False,specific
1,adjacent,,0,0,,False,2,abuse,False,specific
2,adjacent,,0,1,'s,False,2,abuse,False,specific
3,adjacent,,0,0,,False,2,abuse,False,specific
4,adjacent,,0,1,and,False,2,abuse,False,specific
5,adjacent,,0,0,,False,2,abuse,False,specific
6,adjacent,,0,0,,False,2,abuse,False,specific
7,adjacent,,0,1,'s,False,2,abuse,False,specific
8,adjacent,,0,1,'s,False,2,abuse,False,specific
9,adjacent,,0,0,,False,2,abuse,False,specific
10,adjacent,,0,1,in,False,2,abuse,False,specific
11,adjacent,,0,1,the,False,2,abuse,False,specific
12,adjacent,,0,0,,False,2,abuse,False,specific
13,adjacent,,0,0,,False,2,abuse,False,specific
14,adjacent,,0,1,every,False,2,abuse,False,specific
15,adjacent,,0,0,,False,2,abuse,False,specific
16,adjacent,,0,0,,False,2,abuse,False,specific
17,adjacent,,0,1,every,False,2,abuse,False,specific
18,adjacent,,0,1,the,False,2,abuse,False,specific
19,adjacent,,0,0,,False,2,abuse,False,specific
20,first_last,,0,0,,False,2,abuse,False,specific
0,adjacent,,0,0,,False,3,activities,False,general
1,adjacent,,0,0,,False,3,activities,False,general
2,adjacent,,0,0,,False,3,activities,False,general
3,adjacent,,0,0,,False,3,activities,False,general
4,adjacent,we,1,1,we,True,3,activities,False,general
5,adjacent,we,1,1,we,True,3,activities,False,general
6,adjacent,,0,0,,False,3,activities,False,general
7,adjacent,,0,0,,False,3,activities,False,general
8,adjacent,,0,0,,False,3,activities,False,general
9,adjacent,,0,0,,False,3,activities,False,general
10,adjacent,,0,0,,False,3,activities,False,general
11,adjacent,,0,1,in,False,3,activities,False,general
12,adjacent,,0,1,in,False,3,activities,False,general
13,adjacent,,0,0,,False,3,activities,False,general
14,adjacent,,0,0,,False,3,activities,False,general
15,first_last,,0,1,in,False,3,activities,False,general
0,adjacent,,0,0,,False,4,activities,False,figurative
1,adjacent,,0,0,,False,4,activities,False,figurative
2,adjacent,,0,0,,False,4,activities,False,figurative
3,adjacent,,0,0,,False,4,activities,False,figurative
4,adjacent,,0,0,,False,4,activities,False,figurative
5,adjacent,,0,0,,False,4,activities,False,figurative
6,adjacent,,0,0,,False,4,activities,False,figurative
7,adjacent,,0,0,,False,4,activities,False,figurative
8,adjacent,,0,0,,False,4,activities,False,figurative
9,adjacent,,0,0,,False,4,activities,False,figurative
10,adjacent,,0,0,,False,4,activities,False,figurative
11,adjacent,,0,1,in,False,4,activities,False,figurative
12,adjacent,,0,1,in,False,4,activities,False,figurative
13,first_last,,0,1,in,False,4,activities,False,figurative
0,adjacent,,0,0,,False,5,activities,False,specific
1,adjacent,,0,1,'s,False,5,activities,False,specific
2,adjacent,,0,0,,False,5,activities,False,specific
3,adjacent,,0,0,,False,5,activities,False,specific
4,adjacent,,0,0,,False,5,activities,False,specific
5,adjacent,,0,0,,False,5,activities,False,specific
6,adjacent,,0,0,,False,5,activities,False,specific
7,adjacent,,0,1,the,False,5,activities,False,specific
8,adjacent,,0,1,the,False,5,activities,False,specific
9,adjacent,,0,0,,False,5,activities,False,specific
10,adjacent,,0,0,,False,5,activities,False,specific
11,adjacent,,0,1,the,False,5,activities,False,specific
12,adjacent,,0,0,,False,5,activities,False,specific
13,adjacent,,0,1,a,False,5,activities,False,specific
14,adjacent,,0,0,,False,5,activities,False,specific
15,adjacent,,0,0,,False,5,activities,False,specific
16,adjacent,,0,1,a,False,5,activities,False,specific
17,adjacent,,0,1,a,False,5,activities,False,specific
18,adjacent,,0,0,,False,5,activities,False,specific
19,first_last,,0,0,,False,5,activities,False,specific
0,adjacent,,0,0,,False,6,arts & sciences,False,general
1,adjacent,,0,1,the,False,6,arts & sciences,False,general
2,adjacent,,0,1,the,False,6,arts & sciences,False,general
3,adjacent,,0,0,,False,6,arts & sciences,False,general
4,adjacent,,0,0,,False,6,arts & sciences,False,general
5,adjacent,,0,0,,False,6,arts & sciences,False,general
6,adjacent,,0,0,,False,6,arts & sciences,False,general
7,adjacent,,0,1,the,False,6,arts & sciences,False,general
8,adjacent,,0,1,of,False,6,arts & sciences,False,general
9,adjacent,,0,1,'s,False,6,arts & sciences,False,general
10,adjacent,,0,1,'s,False,6,arts & sciences,False,general
11,adjacent,,0,1,'s,False,6,arts & sciences,False,general
12,adjacent,,0,0,,False,6,arts & sciences,False,general
13,adjacent,,0,1,the,False,6,arts & sciences,False,general
14,adjacent,,0,1,the,False,6,arts & sciences,False,general
15,adjacent,,0,0,,False,6,arts & sciences,False,general
16,adjacent,,0,0,,False,6,arts & sciences,False,general
17,first_last,,0,1,in,False,6,arts & sciences,False,general
0,adjacent,,0,0,,False,7,arts & sciences,False,figurative
1,adjacent,,0,0,,False,7,arts & sciences,False,figurative
2,adjacent,,0,1,the,False,7,arts & sciences,False,figurative
3,adjacent,,0,0,,False,7,arts & sciences,False,figurative
4,adjacent,,0,0,,False,7,arts & sciences,False,figurative
5,adjacent,,0,0,,False,7,arts & sciences,False,figurative
6,adjacent,,0,0,,False,7,arts & sciences,False,figurative
7,adjacent,,0,1,of,False,7,arts & sciences,False,figurative
8,adjacent,,0,0,,False,7,arts & sciences,False,figurative
9,adjacent,,0,1,in,False,7,arts & sciences,False,figurative
10,adjacent,,0,0,,False,7,arts & sciences,False,figurative
11,adjacent,,0,0,,False,7,arts & sciences,False,figurative
12,adjacent,,0,0,,False,7,arts & sciences,False,figurative
13,first_last,,0,0,,False,7,arts & sciences,False,figurative
0,adjacent,,0,0,,False,8,arts & sciences,False,specific
1,adjacent,,0,0,,False,8,arts & sciences,False,specific
2,adjacent,,0,0,,False,8,arts & sciences,False,specific
3,adjacent,,0,0,,False,8,arts & sciences,False,specific
4,adjacent,,0,1,in,False,8,arts & sciences,False,specific
5,adjacent,,0,0,,False,8,arts & sciences,False,specific
6,adjacent,,0,1,the,False,8,arts & sciences,False,specific
7,adjacent,,0,1,the,False,8,arts & sciences,False,specific
8,adjacent,,0,0,,False,8,arts & sciences,False,specific
9,adjacent,,0,0,,False,8,arts & sciences,False,specific
10,adjacent,,0,0,,False,8,arts & sciences,False,specific
11,adjacent,,0,0,,False,8,arts & sciences,False,specific
12,adjacent,,0,1,the,False,8,arts & sciences,False,specific
13,adjacent,,0,1,the,False,8,arts & sciences,False,specific
14,adjacent,,0,1,the,False,8,arts & sciences,False,specific
15,adjacent,,0,1,the,False,8,arts & sciences,False,specific
16,adjacent,,0,1,the,False,8,arts & sciences,False,specific
17,first_last,,0,1,the,False,8,arts & sciences,False,specific
0,adjacent,,0,0,,False,9,christianity,False,general
1,adjacent,,0,0,,False,9,christianity,False,general
2,adjacent,,0,0,,False,9,christianity,False,general
3,adjacent,,0,1,a,False,9,christianity,False,general
4,adjacent,,0,0,,False,9,christianity,False,general
5,adjacent,,0,1,the,False,9,christianity,False,general
6,adjacent,,0,0,,False,9,christianity,False,general
7,adjacent,,0,0,,False,9,christianity,False,general
8,adjacent,,0,1,the,False,9,christianity,False,general
9,adjacent,,0,0,,False,9,christianity,False,general
10,adjacent,,0,0,,False,9,christianity,False,general
11,adjacent,,0,0,,False,9,christianity,False,general
12,adjacent,,0,0,,False,9,christianity,False,general
13,adjacent,,0,0,,False,9,christianity,False,general
14,adjacent,,0,0,,False,9,christianity,False,general
15,adjacent,,0,0,,False,9,christianity,False,general
16,adjacent,we,1,1,we,True,9,christianity,False,general
17,adjacent,we,1,1,we,True,9,christianity,False,general
18,adjacent,,0,0,,False,9,christianity,False,general
19,first_last,,0,0,,False,9,christianity,False,general
0,adjacent,,0,1,a,False,10,christianity,False,figurative
1,adjacent,,0,0,,False,10,christianity,False,figurative
2,adjacent,we,1,1,we,True,10,christianity,False,figurative
3,adjacent,,0,0,,False,10,christianity,False,figurative
4,adjacent,,0,0,,False,10,christianity,False,figurative
5,adjacent,embrace,1,0,,True,10,christianity,False,figurative
6,adjacent,,0,0,,False,10,christianity,False,figurative
7,adjacent,,0,0,,False,10,christianity,False,figurative
8,adjacent,,0,0,,False,10,christianity,False,figurative
9,adjacent,,0,0,,False,10,christianity,False,figurative
10,adjacent,,0,0,,False,10,christianity,False,figurative
11,adjacent,,0,0,,False,10,christianity,False,figurative
12,adjacent,,0,0,,False,10,christianity,False,figurative
13,first_last,,0,1,in,False,10,christianity,False,figurative
0,adjacent,,0,0,,False,11,christianity,False,specific
1,adjacent,,0,0,,False,11,christianity,False,specific
2,adjacent,,0,1,the,False,11,christianity,False,specific
3,adjacent,,0,1,the,False,11,christianity,False,specific
4,adjacent,,0,0,,False,11,christianity,False,specific
5,adjacent,,0,1,'s,False,11,christianity,False,specific
6,adjacent,,0,1,of,False,11,christianity,False,specific
7,adjacent,,0,1,of,False,11,christianity,False,specific
8,adjacent,,0,1,of,False,11,christianity,False,specific
9,adjacent,,0,0,,False,11,christianity,False,specific
10,adjacent,,0,0,,False,11,christianity,False,specific
11,adjacent,,0,1,the,False,11,christianity,False,specific
12,adjacent,,0,1,the,False,11,christianity,False,specific
13,adjacent,,0,1,the,False,11,christianity,False,specific
14,adjacent,,0,1,the,False,11,christianity,False,specific
15,adjacent,,0,0,,False,11,christianity,False,specific
16,adjacent,,0,0,,False,11,christianity,False,specific
17,adjacent,,0,1,the,False,11,christianity,False,specific
18,adjacent,,0,0,,False,11,christianity,False,specific
19,first_last,,0,0,,False,11,christianity,False,specific
0,adjacent,,0,0,,False,12,chronic illness,False,general
1,adjacent,,0,0,,False,12,chronic illness,False,general
2,adjacent,,0,0,,False,12,chronic illness,False,general
3,adjacent,,0,1,a,False,12,chronic illness,False,general
4,adjacent,,0,0,,False,12,chronic illness,False,general
5,adjacent,,0,0,,False,12,chronic illness,False,general
6,adjacent,,0,0,,False,12,chronic illness,False,general
7,adjacent,,0,0,,False,12,chronic illness,False,general
8,adjacent,,0,0,,False,12,chronic illness,False,general
9,adjacent,,0,0,,False,12,chronic illness,False,general
10,adjacent,,0,1,in,False,12,chronic illness,False,general
11,adjacent,,0,0,,False,12,chronic illness,False,general
12,adjacent,,0,0,,False,12,chronic illness,False,general
13,adjacent,,0,0,,False,12,chronic illness,False,general
14,adjacent,,0,1,in,False,12,chronic illness,False,general
15,adjacent,,0,1,in,False,12,chronic illness,False,general
16,adjacent,,0,1,in,False,12,chronic illness,False,general
17,first_last,,0,1,in,False,12,chronic illness,False,general
0,adjacent,,0,0,,False,13,chronic illness,False,figurative
1,adjacent,,0,0,,False,13,chronic illness,False,figurative
2,adjacent,,0,0,,False,13,chronic illness,False,figurative
3,adjacent,,0,1,'s,False,13,chronic illness,False,figurative
4,adjacent,,0,0,,False,13,chronic illness,False,figurative
5,adjacent,,0,0,,False,13,chronic illness,False,figurative
6,adjacent,,0,0,,False,13,chronic illness,False,figurative
7,adjacent,,0,0,,False,13,chronic illness,False,figurative
8,adjacent,,0,0,,False,13,chronic illness,False,figurative
9,adjacent,,0,0,,False,13,chronic illness,False,figurative
10,adjacent,,0,1,the,False,13,chronic illness,False,figurative
11,adjacent,,0,0,,False,13,chronic illness,False,figurative
12,adjacent,,0,1,a,False,13,chronic illness,False,figurative
13,adjacent,,0,1,the,False,13,chronic illness,False,figurative
14,adjacent,,0,0,,False,13,chronic illness,False,figurative
15,adjacent,,0,0,,False,13,chronic illness,False,figurative
16,adjacent,,0,0,,False,13,chronic illness,False,figurative
17,adjacent,,0,0,,False,13,chronic illness,False,figurative
18,adjacent,,0,0,,False,13,chronic illness,False,figurative
19,adjacent,,0,0,,False,13,chronic illness,False,figurative
20,adjacent,,0,0,,False,13,chronic illness,False,figurative
21,first_last,,0,0,,False,13,chronic illness,False,figurative
0,adjacent,,0,0,,False,14,chronic illness,False,specific
1,adjacent,,0,0,,False,14,chronic illness,False,specific
2,adjacent,,0,0,,False,14,chronic illness,False,specific
3,adjacent,,0,0,,False,14,chronic illness,False,specific
4,adjacent,,0,0,,False,14,chronic illness,False,specific
5,adjacent,,0,0,,False,14,chronic illness,False,specific
6,adjacent,,0,0,,False,14,chronic illness,False,specific
7,adjacent,,0,0,,False,14,chronic illness,False,specific
8,adjacent,,0,0,,False,14,chronic illness,False,specific
9,adjacent,,0,0,,False,14,chronic illness,False,specific
10,adjacent,,0,1,the,False,14,chronic illness,False,specific
11,adjacent,,0,1,in,False,14,chronic illness,False,specific
12,adjacent,,0,1,in,False,14,chronic illness,False,specific
13,adjacent,,0,0,,False,14,chronic illness,False,specific
14,adjacent,,0,0,,False,14,chronic illness,False,specific
15,adjacent,,0,0,,False,14,chronic illness,False,specific
16,adjacent,,0,0,,False,14,chronic illness,False,specific
17,adjacent,,0,0,,False,14,chronic illness,False,specific
18,adjacent,,0,0,,False,14,chronic illness,False,specific
19,adjacent,,0,1,a,False,14,chronic illness,False,specific
20,adjacent,,0,0,,False,14,chronic illness,False,specific
21,first_last,,0,0,,False,14,chronic illness,False,specific
0,adjacent,,0,0,,False,15,crime & punishment,False,general
1,adjacent,,0,0,,False,15,crime & punishment,False,general
2,adjacent,,0,1,a,False,15,crime & punishment,False,general
3,adjacent,,0,0,,False,15,crime & punishment,False,general
4,adjacent,,0,0,,False,15,crime & punishment,False,general
5,adjacent,,0,0,,False,15,crime & punishment,False,general
6,adjacent,,0,0,,False,15,crime & punishment,False,general
7,adjacent,,0,0,,False,15,crime & punishment,False,general
8,adjacent,,0,0,,False,15,crime & punishment,False,general
9,adjacent,,0,0,,False,15,crime & punishment,False,general
10,adjacent,,0,1,the,False,15,crime & punishment,False,general
11,adjacent,,0,0,,False,15,crime & punishment,False,general
12,adjacent,,0,0,,False,15,crime & punishment,False,general
13,adjacent,,0,0,,False,15,crime & punishment,False,general
14,adjacent,,0,0,,False,15,crime & punishment,False,general
15,adjacent,,0,0,,False,15,crime & punishment,False,general
16,adjacent,,0,0,,False,15,crime & punishment,False,general
17,adjacent,,0,1,of,False,15,crime & punishment,False,general
18,adjacent,,0,1,of,False,15,crime & punishment,False,general
19,adjacent,,0,1,the,False,15,crime & punishment,False,general
20,adjacent,,0,0,,False,15,crime & punishment,False,general
21,first_last,,0,0,,False,15,crime & punishment,False,general
0,adjacent,,0,0,,False,16,crime & punishment,False,figurative
1,adjacent,,0,1,the,False,16,crime & punishment,False,figurative
2,adjacent,,0,0,,False,16,crime & punishment,False,figurative
3,adjacent,,0,0,,False,16,crime & punishment,False,figurative
4,adjacent,,0,0,,False,16,crime & punishment,False,figurative
5,adjacent,,0,0,,False,16,crime & punishment,False,figurative
6,adjacent,beneath,1,2,beneath the,True,16,crime & punishment,False,figurative
7,adjacent,,0,1,the,False,16,crime & punishment,False,figurative
8,adjacent,,0,0,,False,16,crime & punishment,False,figurative
9,adjacent,,0,0,,False,16,crime & punishment,False,figurative
10,adjacent,,0,0,,False,16,crime & punishment,False,figurative
