pair_index,pair_type,matches,num_matches,max_phrase_len,max_phrase_example,passes_echo,poem_id,subject,with_brown_rules,prompt_type
0,adjacent,,0,0,,False,0,abuse,True,figurative
1,adjacent,,0,0,,False,0,abuse,True,figurative
2,adjacent,,0,0,,False,0,abuse,True,figurative
3,adjacent,,0,1,a,False,0,abuse,True,figurative
4,adjacent,,0,1,the,False,0,abuse,True,figurative
5,adjacent,,0,0,,False,0,abuse,True,figurative
6,adjacent,,0,0,,False,0,abuse,True,figurative
7,adjacent,,0,0,,False,0,abuse,True,figurative
8,adjacent,,0,0,,False,0,abuse,True,figurative
9,adjacent,,0,0,,False,0,abuse,True,figurative
10,adjacent,,0,0,,False,0,abuse,True,figurative
11,adjacent,,0,1,the,False,0,abuse,True,figurative
12,adjacent,,0,1,a,False,0,abuse,True,figurative
13,adjacent,,0,1,the,False,0,abuse,True,figurative
14,adjacent,,0,0,,False,0,abuse,True,figurative
15,adjacent,,0,0,,False,0,abuse,True,figurative
16,adjacent,,0,0,,False,0,abuse,True,figurative
17,adjacent,,0,0,,False,0,abuse,True,figurative
18,adjacent,,0,0,,False,0,abuse,True,figurative
19,adjacent,,0,0,,False,0,abuse,True,figurative
20,adjacent,,0,1,’s,False,0,abuse,True,figurative
21,adjacent,,0,0,,False,0,abuse,True,figurative
22,adjacent,"i, know",2,1,i,True,0,abuse,True,figurative
23,adjacent,,0,1,the,False,0,abuse,True,figurative
24,adjacent,,0,0,,False,0,abuse,True,figurative
25,adjacent,,0,1,of,False,0,abuse,True,figurative
26,adjacent,,0,1,the,False,0,abuse,True,figurative
27,first_last,,0,0,,False,0,abuse,True,figurative
0,adjacent,,0,0,,False,1,abuse,True,specific
1,adjacent,,0,0,,False,1,abuse,True,specific
2,adjacent,,0,0,,False,1,abuse,True,specific
3,adjacent,,0,1,the,False,1,abuse,True,specific
4,adjacent,,0,1,the,False,1,abuse,True,specific
5,adjacent,,0,0,,False,1,abuse,True,specific
6,adjacent,turn,1,0,,True,1,abuse,True,specific
7,adjacent,i,1,1,i,True,1,abuse,True,specific
8,adjacent,i,1,1,i,True,1,abuse,True,specific
9,adjacent,,0,0,,False,1,abuse,True,specific
10,adjacent,,0,1,still,False,1,abuse,True,specific
11,adjacent,,0,0,,False,1,abuse,True,specific
12,adjacent,,0,0,,False,1,abuse,True,specific
13,adjacent,,0,0,,False,1,abuse,True,specific
14,adjacent,,0,2,in the,True,1,abuse,True,specific
15,adjacent,,0,1,in,False,1,abuse,True,specific
16,adjacent,,0,0,,False,1,abuse,True,specific
17,adjacent,,0,1,yet,False,1,abuse,True,specific
18,adjacent,i,1,1,i,True,1,abuse,True,specific
19,first_last,,0,1,the,False,1,abuse,True,specific
0,adjacent,,0,0,,False,2,activities,True,general
1,adjacent,,0,1,yet,False,2,activities,True,general
2,adjacent,,0,1,the,False,2,activities,True,general
3,adjacent,i,1,1,the,True,2,activities,True,general
4,adjacent,slow,1,1,slow,True,2,activities,True,general
5,adjacent,,0,0,,False,2,activities,True,general
6,adjacent,,0,1,of,False,2,activities,True,general
7,adjacent,,0,0,,False,2,activities,True,general
8,adjacent,,0,1,’s,False,2,activities,True,general
9,adjacent,,0,0,,False,2,activities,True,general
10,adjacent,,0,0,,False,2,activities,True,general
11,adjacent,,0,0,,False,2,activities,True,general
12,adjacent,,0,0,,False,2,activities,True,general
13,adjacent,,0,1,but,False,2,activities,True,general
14,adjacent,i,1,1,i,True,2,activities,True,general
15,adjacent,,0,1,a,False,2,activities,True,general
16,adjacent,,0,1,a,False,2,activities,True,general
17,adjacent,,0,1,the,False,2,activities,True,general
18,adjacent,,0,1,the,False,2,activities,True,general
19,adjacent,,0,1,the,False,2,activities,True,general
20,adjacent,,0,0,,False,2,activities,True,general
21,adjacent,,0,0,,False,2,activities,True,general
22,adjacent,,0,0,,False,2,activities,True,general
23,adjacent,,0,0,,False,2,activities,True,general
24,adjacent,,0,1,in,False,2,activities,True,general
25,adjacent,,0,1,a,False,2,activities,True,general
26,adjacent,,0,1,a,False,2,activities,True,general
27,adjacent,,0,0,,False,2,activities,True,general
28,adjacent,i,1,1,i,True,2,activities,True,general
29,adjacent,i,1,1,i,True,2,activities,True,general
30,adjacent,i,1,1,i,True,2,activities,True,general
31,first_last,,0,0,,False,2,activities,True,general
0,adjacent,,0,0,,False,3,activities,True,figurative
