poem_id,subject,with_brown_rules,prompt_type,n_lines,num_pairs_passing_echo,first_last_passes_echo
0,abuse,False,general,18,0,False
1,abuse,False,figurative,16,0,False
2,abuse,False,specific,21,0,False
3,activities,False,general,16,2,False
4,activities,False,figurative,14,0,False
5,activities,False,specific,20,0,False
6,arts & sciences,False,general,18,0,False
7,arts & sciences,False,figurative,14,0,False
8,arts & sciences,False,specific,18,0,False
9,christianity,False,general,20,2,False
10,christianity,False,figurative,14,2,False
11,christianity,False,specific,20,0,False
12,chronic illness,False,general,18,0,False
13,chronic illness,False,figurative,22,0,False
14,chronic illness,False,specific,22,0,False
15,crime & punishment,False,general,22,0,False
16,crime & punishment,False,figurative,22,2,False
17,crime & punishment,False,specific,18,0,False
18,cycles,False,general,21,0,False
19,cycles,False,figurative,14,0,False
20,cycles,False,specific,16,2,True
21,desire & passion,False,general,16,0,False
22,desire & passion,False,figurative,20,2,False
23,desire & passion,False,specific,20,0,True
24,doubt & contemplation,False,general,22,1,True
25,doubt & contemplation,False,figurative,20,0,False
26,doubt & contemplation,False,specific,22,3,True
27,family & ancestors,False,general,16,2,False
28,family & ancestors,False,figurative,20,3,False
29,family & ancestors,False,specific,24,2,False
30,gender & sexuality,False,general,16,1,True
31,gender & sexuality,False,figurative,16,6,True
32,gender & sexuality,False,specific,12,2,False
33,greek & roman mythology,False,general,16,1,False
34,greek & roman mythology,False,figurative,22,2,False
35,greek & roman mythology,False,specific,24,0,False
36,history & politics,False,general,20,2,True
37,history & politics,False,figurative,22,2,False
38,history & politics,False,specific,20,1,False
39,home life,False,general,24,5,False
40,home life,False,figurative,28,0,False
41,home life,False,specific,35,0,False
42,hope,False,general,16,1,True
43,hope,False,figurative,22,1,False
44,hope,False,specific,14,1,False
45,humor & satire,False,general,16,1,False
46,humor & satire,False,figurative,18,2,False
47,humor & satire,False,specific,22,1,False
48,indoor activities,False,general,14,0,False
49,indoor activities,False,figurative,14,0,False
50,indoor activities,False,specific,16,4,False
51,life choices,False,general,18,4,True
52,life choices,False,figurative,16,0,False
53,life choices,False,specific,22,2,True
54,lgbtq+,False,general,18,1,True
55,lgbtq+,False,figurative,16,1,True
56,lgbtq+,False,specific,20,5,False
57,living,False,general,20,2,True
58,living,False,figurative,20,3,False
59,living,False,specific,28,3,False
60,love,False,general,16,1,False
61,love,False,figurative,12,0,False
62,love,False,specific,18,4,False
63,love death avoidance,False,general,20,1,False
64,love death avoidance,False,figurative,22,2,False
65,love death avoidance,False,specific,20,5,False
66,memory & nostalgia,False,general,18,3,False
67,memory & nostalgia,False,figurative,14,1,False
68,memory & nostalgia,False,specific,16,1,False
69,men & women,False,general,24,5,False
70,men & women,False,figurative,16,0,False
71,men & women,False,specific,20,1,False
72,mythology & folklore,False,general,16,0,False
73,mythology & folklore,False,figurative,20,0,False
74,mythology & folklore,False,specific,16,1,False
75,nature,False,general,16,0,False
76,nature,False,figurative,16,1,False
77,nature,False,specific,12,0,False
78,power,False,general,16,0,False
79,power,False,figurative,22,0,False
80,power,False,specific,20,2,False
81,poetry & poets,False,general,16,1,False
82,poetry & poets,False,figurative,16,0,False
83,poetry & poets,False,specific,20,2,False
84,race & ethnicity,False,general,22,6,True
85,race & ethnicity,False,figurative,16,4,True
86,race & ethnicity,False,specific,16,0,False
87,relationships,False,general,16,3,True
88,relationships,False,figurative,18,2,False
89,relationships,False,specific,20,0,False
90,romantic love,False,general,20,3,True
91,romantic love,False,figurative,14,1,False
92,romantic love,False,specific,18,1,True
93,sexual violence,False,general,14,0,False
94,sexual violence,False,figurative,22,1,False
95,sexual violence,False,specific,20,0,False
96,sorrow & grieving,False,general,14,0,False
97,sorrow & grieving,False,figurative,16,0,False
98,sorrow & grieving,False,specific,18,3,False
99,social commentaries,False,general,18,3,False
100,social commentaries,False,figurative,22,0,False
101,social commentaries,False,specific,20,1,True
102,subjugation,False,general,24,1,False
103,subjugation,False,figurative,12,2,False
104,subjugation,False,specific,24,0,False
105,the mind,False,general,20,1,True
106,the mind,False,figurative,14,0,False
107,the mind,False,specific,18,0,False
108,trees and flowers,False,general,16,0,False
109,trees and flowers,False,figurative,16,1,False
110,trees and flowers,False,specific,24,0,False
111,truth,False,general,18,1,False
112,truth,False,figurative,20,1,False
113,truth,False,specific,16,1,False
114,twilight,False,general,18,0,True
